location,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Albania,13.7,12.3,11.5,12.5,14,13,12.5,12,11,10
Algeria,11.7,11.7,11.4,14.2,14.5,14.9,15.9,17.1,18.2,19.4
Argentina,8.4,9.2,9.8,11.4,10.6,9.3,9.2,9.2,9.2,9.2
Armenia,20.9,20.5,18.9,24.2,22.8,22.7,22.6,22.5,22.4,22.3
Aruba,8.9,7.3,5.1,14,20,11.5,6.8,5.1,5.1,5.1
Australia,5.6,5.3,5.2,6.5,6,5.5,5.3,4.9,4.8,4.8
Austria,5.5,4.9,4.5,5.3,5.5,5.3,4.7,4.5,4.5,4.5
Azerbaijan,5,4.9,4.8,6.5,5.8,5.7,5.6,5.6,5.5,5.4
"Bahamas, The",10.1,10.4,10.1,25.6,24,17.2,13.5,12.8,12.5,12
Bahrain,3.6,3.9,4,5,3.8,3.8,3.8,3.8,3.8,3.8
Barbados,10,10.1,10.4,17.1,16.1,14,12.7,12.1,11.8,11.5
Belarus,5.7,4.8,4.2,4.1,4.5,4.4,4.2,4.1,4,3.9
Belgium,7.1,6,5.4,5.6,6.8,6.6,6.1,5.9,5.8,5.7
Belize,9.4,9.7,9,23.7,23.2,18.8,16.1,15.3,14.4,13.6
Bhutan,3.1,0,0,0,0,0,0,0,0,0
Bolivia,4,4,4,8,4,4,4,4,4,4
Bosnia and Herzegovina,20.5,18.4,15.7,19,17.5,16.8,16,15.3,14.5,14.7
Brazil,12.8,12.3,11.9,13.2,14.5,13.2,12.4,11.5,10.8,10
Brunei Darussalam,9.3,8.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
Bulgaria,6.2,5.2,4.2,5.2,4.8,4.4,4.3,4.2,4.2,4.2
Cabo Verde,12.2,12.2,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Canada,6.4,5.9,5.7,9.6,8,6.5,6.2,6.4,6.5,6.5
Chile,7,7.4,7.2,10.8,9,8.2,7.7,7.4,7.2,7.2
"China, People's Republic of",3.9,3.8,3.6,3.8,3.6,3.6,3.5,3.5,3.5,3.5
Colombia,9.4,9.7,10.5,16.1,12.8,12.3,11.6,11.1,10.7,10.5
Costa Rica,9.3,12,12.4,20,16,14,12,10.5,9.5,9
Croatia,12.4,9.9,7.8,9.2,9.4,9,8.6,8.1,7.9,7.7
Cyprus,11.1,8.4,7.1,7.6,7.5,7,6.5,6,5.5,5.1
Czech Republic,2.9,2.2,2,2.7,3.4,3.2,3,2.8,2.8,2.8
Denmark,5.8,5.1,5,5.6,5.6,5.5,5.5,5.5,5.5,5.5
Dominican Republic,5.5,5.7,6.2,5.7,6,5.8,5.6,5.5,5.5,5.5
Ecuador,4.6,3.7,3.8,5.3,4.5,4.4,4.3,4.1,3.8,3.7
Egypt,12.2,10.9,8.6,8.3,9.8,9.4,9,8.5,7.9,6.9
El Salvador,7,6.3,6.7,9,9.5,8.2,7.5,7,7,7
Estonia,5.8,5.4,4.4,6.8,7.1,6.5,5.5,5,5,5
Fiji,4.5,4.5,4.5,13.4,9,6.5,5.5,5,4.7,4.5
Finland,8.8,7.4,6.7,7.8,8.6,7.9,7.3,6.9,6.6,6.5
France,9.4,9,8.5,8.2,9.1,9.2,8.9,8.7,8.5,8.4
Georgia,21.6,19.2,17.6,0,0,0,0,0,0,0
Germany,3.8,3.4,3.2,4.2,4.4,3.7,3.5,3.4,3.4,3.3
Greece,21.5,19.3,17.3,16.4,16.6,15.2,13.8,12.8,12.5,12
Honduras,5.5,5.6,5.4,6.2,5.3,4.9,4.5,4.1,4,4
Hong Kong SAR,3.1,2.8,3,5.9,5.3,4.3,3.3,3.2,3.1,3
Hungary,4,3.6,3.3,4.1,3.8,3.5,3.5,3.5,3.4,3.4
Iceland,3.3,3.1,3.9,6.4,6,5,4,4,4,4
Indonesia,5.5,5.3,5.3,7.1,6.5,5.8,5.4,5.3,5.3,5.3
Iran,12.1,12,10.7,10.8,11.2,11.7,12,12.3,12.4,12.5
Ireland,6.7,5.8,5,5.6,6.8,5.7,5.3,5.1,5,5
Israel,4.2,4,3.8,4.3,5,4.6,4.3,4.1,4,3.9
Italy,11.3,10.6,9.9,9.1,10.3,11.6,12.2,11.7,11.4,11.2
Jamaica,11.7,9.1,7.7,0,0,0,0,0,0,0
Japan,2.8,2.4,2.4,2.8,2.8,2.4,2.3,2.3,2.3,2.3
Jordan,18.3,18.6,19.1,22.7,0,0,0,0,0,0
Kazakhstan,4.9,4.9,4.8,5.5,5.2,5,5,5,5,5
"Korea, Republic of",3.7,3.8,3.8,3.9,4.6,4.1,4,3.9,3.8,3.7
Kosovo,30.5,29.6,25.7,25.6,0,0,0,0,0,0
Kuwait,1.3,1.1,0,0,0,0,0,0,0,0
Kyrgyz Republic,6.9,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
Latvia,8.7,7.4,6.3,8.2,7.2,6.7,6.5,6.1,6,6
Lithuania,7.1,6.1,6.3,8.9,8.4,7.6,6.9,6.5,6.1,5.9
Luxembourg,5.8,5.1,5.4,6.3,6.7,6.4,6.1,5.9,5.8,5.8
Macao SAR,2,1.8,1.7,2.9,2.5,2.1,1.8,1.8,1.8,1.7
Malaysia,3.4,3.3,3.3,4.5,3.8,3.6,3.5,3.5,3.5,3.5
Malta,4,3.7,3.6,4.3,4.3,4.1,4,4,4,4
Mauritius,7.1,6.9,6.7,10.9,10.9,9.2,8,7.3,7.3,7.3
Mexico,3.4,3.3,3.5,4.4,3.6,3.3,3.3,3.2,3.3,3.4
Moldova,4.1,3.1,5.1,8,5.5,3,3,3,3,3
Mongolia,8.8,7.8,10,7.5,6.8,6.1,5.5,5,5,5
Morocco,10.2,9.5,9.2,11.9,10.5,9.7,9.1,8.7,8.5,8.3
Netherlands,4.9,3.8,3.4,3.8,4.9,4.7,4.5,4.2,4.1,4
New Zealand,4.7,4.3,4.1,4.6,5.1,4.9,4.7,4.5,4.4,4.4
Nicaragua,3.7,5.5,6.1,8.1,11.1,7.5,7.2,6.8,6.4,6
Nigeria,17.5,22.6,0,0,0,0,0,0,0,0
North Macedonia ,22.4,20.7,17.3,16.4,16.3,16.4,16.1,16,15.9,15.8
Norway,4.2,3.9,3.7,4.6,4.3,4,3.9,3.8,3.8,3.8
Pakistan,6,5.6,4.1,4.5,5,4.8,4.7,4.6,4.5,4.5
Panama,6.1,6,7.1,18.5,10.1,9.1,8.8,8.8,8.8,8.8
Paraguay,6.1,6.2,6.1,6.6,6.1,5.9,5.9,5.9,5.9,5.9
Peru,6.9,6.7,6.6,13.6,9.7,7.6,6.5,6.5,6.5,6.5
Philippines,5.7,5.3,5.1,10.4,7.4,6.3,5.9,5.5,5.1,4.9
Poland,4.9,3.8,3.3,3.2,4.9,4.5,4.5,4.5,4.5,4.5
Portugal,8.9,7,6.5,6.8,7.7,7.3,6.9,6.7,6.6,6.5
Puerto Rico,10.8,9.2,8.3,8.6,9.6,9.4,8.9,8.5,8.5,8.5
Romania,4.9,4.2,3.9,5,4.9,4.9,4.9,4.9,4.9,4.9
Russian Federation,5.2,4.8,4.6,5.8,5.4,5,4.8,4.8,4.7,4.6
San Marino,8.1,8,7.7,7.3,6.6,6.4,6,5.9,5.9,5.9
Saudi Arabia,6,6,5.6,0,0,0,0,0,0,0
Serbia,14.1,13.3,10.9,13.3,13,12.7,12.4,12.1,11.7,11.3
Seychelles,3,3,3,3,3,3,3,3,3,3
Singapore,2.2,2.1,2.3,3.1,2.8,2.5,2.3,2.3,2.2,2.2
Slovak Republic,8.1,6.5,5.8,6.7,7.3,6.7,6.3,6.1,6,6
Slovenia,6.6,5.1,4.4,5.1,5.4,5,4.8,4.6,4.4,4.4
South Africa,27.5,27.1,28.7,29.2,29.7,30.8,32.7,33.9,34.6,35.3
Spain,17.2,15.3,14.1,15.5,16.8,15.8,15,14.5,14.4,14.5
Sri Lanka,4.2,4.4,4.8,5.8,5.6,5.5,5,4.4,4.4,4.4
Sudan,19.6,19.5,22.1,26.8,28.4,29.7,29.7,29,27.8,26.5
Suriname,7,9,9,11.3,11.2,10.9,10.6,10.3,10,9.9
Sweden,6.7,6.3,6.8,8.3,8.7,8.4,7.7,7.2,7.2,7.2
Switzerland,3.1,2.5,2.3,3.1,3.5,3.4,3.2,3,3,3
Syria,0,0,0,0,0,0,0,0,0,0
São Tomé and Príncipe,13.5,0,0,0,0,0,0,0,0,0
Taiwan Province of China,3.8,3.7,3.7,3.9,3.8,3.8,3.8,3.8,3.8,3.8
Tajikistan,0,0,0,0,0,0,0,0,0,0
Thailand,1.2,1.1,1,2,1.5,1,1,1,1,1
Trinidad and Tobago,4.8,3.9,0,0,0,0,0,0,0,0
Tunisia,15.5,15.5,14.9,0,0,0,0,0,0,0
Turkey,10.9,11,13.7,13.1,12.4,11,9,8.8,8.6,8.4
Ukraine,9.7,9,8.5,9,8.6,8.4,8,7.6,7.3,7.1
United Kingdom,4.4,4.1,3.8,4.5,6.1,6.1,5.2,4.6,4.4,4.2
