Date,2021_7MA,2021_flights,2020_7MA,2020_flights,2019_7MA,2019_flights
2000-01-01,68909,55951,108395,97332,102167,92417
2000-01-02,69069,67204,109083,113603,103033,108056
2000-01-03,69390,74148,109020,117059,103196,111162
2000-01-04,69661,73561,108889,108566,103128,110640
2000-01-05,69282,70386,109028,110585,102787,101581
2000-01-06,68228,68810,109401,114634,103037,103271
2000-01-07,68545,69759,110699,113120,105061,108303
2000-01-08,70684,70924,112784,111921,106999,105980
2000-01-09,70113,63203,113028,115315,106891,107304
2000-01-10,68777,64801,113094,117523,106436,107977
2000-01-11,67768,66496,112128,101804,106176,108821
2000-01-12,67049,65355,111337,105043,105396,96122
2000-01-13,66773,66876,111079,112827,104549,97340
2000-01-14,66752,69611,110793,111118,104209,105921
2000-01-15,66700,70560,111014,113468,104024,104686
2000-01-16,66405,61140,111126,116101,103896,106409
2000-01-17,65930,61473,111218,118166,104050,109056
2000-01-18,65669,64670,111329,102580,104458,111675
2000-01-19,65366,63236,111249,104487,104300,95019
2000-01-20,65070,64806,111451,114237,103992,95178
2000-01-21,64695,66982,111866,114029,103909,105342
2000-01-22,64362,68230,111905,113739,104033,105554
2000-01-23,63774,57021,111988,116682,103952,105845
2000-01-24,63257,57858,111692,116092,103973,109199
2000-01-25,62728,60965,111474,101054,104119,112697
2000-01-26,62243,59839,111437,104232,104612,98473
2000-01-27,62042,63399,111052,111541,105182,99170
2000-01-28,61684,64477,110365,109218,105050,104414
2000-01-29,61373,66053,109742,109380,105035,105449
2000-01-30,61281,56380,109033,111720,105084,106189
2000-01-31,61047,56220,108538,112625,105011,108685
2000-02-01,60576,57666,107920,96729,104960,112340
2000-02-02,60294,57868,106937,97348,105079,99308
2000-02-03,60143,62340,106023,105145,104914,98014
2000-02-04,60165,64632,105043,102355,104895,104285
2000-02-05,60362,67429,104168,103257,104867,105253
2000-02-06,60598,58035,103129,104450,105042,107413
2000-02-07,60681,56798,102282,106693,105114,109191
2000-02-08,61273,61815,102029,94955,105055,111924
2000-02-09,61689,60777,101403,92966,104956,98617
2000-02-10,61808,63170,100733,100456,105190,99653
2000-02-11,61371,61574,100466,100490,105622,107305
2000-02-12,60710,62804,100332,102317,105488,104319
2000-02-13,60068,53541,100395,104892,105297,106070
2000-02-14,59486,52726,100782,109400,105724,112182
2000-02-15,58712,56395,100772,94885,106192,115200
2000-02-16,58336,58142,100926,94042,106544,101085
2000-02-17,58457,64023,101059,101389,106606,100082
2000-02-18,58871,64471,101298,102167,106757,108364
2000-02-19,59714,68706,101705,105160,107260,107843
2000-02-20,61046,62863,101882,106132,107225,105819
2000-02-21,62577,63445,101872,109334,107084,111195
2000-02-22,64040,66634,102030,95989,106857,113617
2000-02-23,65251,66617,102449,96973,106751,100342
2000-02-24,65808,67926,102687,103057,106964,101570
2000-02-25,66939,72382,102799,102950,107007,108668
2000-02-26,67702,74051,102774,104989,107356,110283
2000-02-27,67866,64011,102910,107084,108085,110924
2000-02-28,68112,65166,102967,109732,108302,112716
