location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations
Afghanistan,AFG,2021-02-22,0,0,0,0
Afghanistan,AFG,2021-02-23,0,0,0,1367
Afghanistan,AFG,2021-02-24,0,0,0,1367
Afghanistan,AFG,2021-02-25,0,0,0,1367
Afghanistan,AFG,2021-02-26,0,0,0,1367
Afghanistan,AFG,2021-02-27,0,0,0,1367
Afghanistan,AFG,2021-02-28,8200,8200,0,1367
Afghanistan,AFG,2021-03-01,0,0,0,1580
Afghanistan,AFG,2021-03-02,0,0,0,1794
Afghanistan,AFG,2021-03-03,0,0,0,2008
Afghanistan,AFG,2021-03-04,0,0,0,2221
Afghanistan,AFG,2021-03-05,0,0,0,2435
Afghanistan,AFG,2021-03-06,0,0,0,2649
Afghanistan,AFG,2021-03-07,0,0,0,2862
Afghanistan,AFG,2021-03-08,0,0,0,2862
Afghanistan,AFG,2021-03-09,0,0,0,2862
Afghanistan,AFG,2021-03-10,0,0,0,2862
Afghanistan,AFG,2021-03-11,0,0,0,2862
Afghanistan,AFG,2021-03-12,0,0,0,2862
Afghanistan,AFG,2021-03-13,0,0,0,2862
Afghanistan,AFG,2021-03-14,0,0,0,2862
Afghanistan,AFG,2021-03-15,0,0,0,2862
Afghanistan,AFG,2021-03-16,54000,54000,0,2862
Afghanistan,AFG,2021-03-17,0,0,0,2882
Afghanistan,AFG,2021-03-18,0,0,0,2902
Afghanistan,AFG,2021-03-19,0,0,0,2921
Afghanistan,AFG,2021-03-20,0,0,0,2941
Afghanistan,AFG,2021-03-21,0,0,0,2961
Afghanistan,AFG,2021-03-22,0,0,0,2980
Afghanistan,AFG,2021-03-23,0,0,0,3000
Afghanistan,AFG,2021-03-24,0,0,0,3000
Afghanistan,AFG,2021-03-25,0,0,0,3000
Afghanistan,AFG,2021-03-26,0,0,0,3000
Afghanistan,AFG,2021-03-27,0,0,0,3000
Afghanistan,AFG,2021-03-28,0,0,0,3000
Afghanistan,AFG,2021-03-29,0,0,0,3000
Afghanistan,AFG,2021-03-30,0,0,0,3000
Afghanistan,AFG,2021-03-31,0,0,0,3000
Afghanistan,AFG,2021-04-01,0,0,0,3000
Afghanistan,AFG,2021-04-02,0,0,0,3000
Afghanistan,AFG,2021-04-03,0,0,0,3000
Afghanistan,AFG,2021-04-04,0,0,0,3000
Afghanistan,AFG,2021-04-05,0,0,0,3000
Afghanistan,AFG,2021-04-06,0,0,0,3000
Afghanistan,AFG,2021-04-07,120000,120000,0,3000
Afghanistan,AFG,2021-04-08,0,0,0,3714
Afghanistan,AFG,2021-04-09,0,0,0,4429
Afghanistan,AFG,2021-04-10,0,0,0,5143
Afghanistan,AFG,2021-04-11,0,0,0,5857
Afghanistan,AFG,2021-04-12,0,0,0,6571
Afghanistan,AFG,2021-04-13,0,0,0,7286
Afghanistan,AFG,2021-04-14,0,0,0,8000
Afghanistan,AFG,2021-04-15,0,0,0,8000
Afghanistan,AFG,2021-04-16,0,0,0,8000
